	highly_variable	highly_variable_rank	means	variances	variances_norm
1002_T	False		0.0015576323494315147	7.278655868704718e-06	2.347080306878953
10041_C	False		0.013888889302810034	0.0005787037511321678	2.09401801656466
10050_C	False		0.016666666915019352	0.0008333334093913434	2.0922855264735625
10064_A	True	118.0	0.0003404835006222129	3.477870689879686e-07	2.7610530651504823
10065_A	True	117.0	0.0003404835006222129	3.477870689879686e-07	2.7610530651504823
10065_C	False		0.0010214504630615313	3.1300829439963403e-06	2.3420191986049304
10065_G	True	115.0	0.0003404835006222129	3.477870689879686e-07	2.7610530651504823
10066_C	True	312.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10067_G	True	311.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10068_A	False		0.0010214504630615313	3.1300829439963403e-06	2.3420191986049304
1006_C	False		0.001851851896693309	1.0288065563961131e-05	2.3526589723144116
1006_G	False		0.001851851896693309	1.0288065563961131e-05	2.3526589723144116
10070_G	True	308.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10071_G	True	114.0	0.0003404835006222129	3.477870689879686e-07	2.7610530651504823
10072_A	True	63.0	0.00036751195633163053	4.0519512844408784e-07	2.771269199649045
10073_C	False		0.0007079954569538435	3.7758692519512214e-07	0.7512473475749136
10073_T	True	314.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10074_C	False		0.0017110236027898889	1.3782698724561137e-06	0.3969953379446191
10076_C	True	116.0	0.0003404835006222129	3.477870689879686e-07	2.7610530651504823
10076_G	False		0.0006895731397283574	3.61281337130748e-07	0.7796692749641421
10078_C	False		0.0010300566403505702	4.703576469432526e-09	0.0037437270659251517
10079_C	False		0.001445455903497835	2.8820044205381565e-06	1.1787891922820235
10079_G	True	306.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10079_T	True	1764.0	0.0006809670012444258	1.3911482759518745e-06	2.5398676628043586
10080_C	False		0.0017212540842592716	3.8655624373022755e-07	0.11008943698092782
10080_G	False		0.0013991929008625448	4.937525443563172e-07	0.21755512509502367
10081_G	True	304.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10083_C	False		0.0024460474766480425	1.657291055066808e-06	0.23990428877457876
10083_G	True	302.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10083_T	True	119.0	0.0003404835006222129	3.477870689879686e-07	2.7610530651504823
10084_A	True	62.0	0.00036751195633163053	4.0519512844408784e-07	2.771269199649045
10084_G	True	1080.0	0.0006441223667934537	1.2446808615699745e-06	2.575671845388576
10085_A	False		0.0007350239126632611	1.6207805137763514e-06	2.466348295404438
10086_C	False		0.0010030281846411526	1.0443793765196677e-06	0.8688863821678222
10086_G	False		0.0010030281846411526	1.0443793765196677e-06	0.8688863821678222
10086_T	True	301.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10087_C	False		0.001810531325948735	5.329328035145638e-06	1.3818470696177783
10087_G	True	300.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10088_G	True	299.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10088_T	False		0.0013619340024888515	5.564593103807498e-06	2.3682438074511385
10089_T	False		0.0006625446840189397	3.2998772696811203e-07	0.8003522833975958
10090_A	False		0.001057085096059988	1.2217827157571784e-06	0.9303534633922187
10090_G	True	298.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10090_T	True	305.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10091_A	False		0.0010204081578801076	3.1236983245171845e-06	2.3417174678697035
10091_G	False		0.0006621972230883936	3.2961394856386546e-07	0.800558630549189
10091_T	True	307.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10092_A	True	54.0	0.0003663003832722704	4.025279189863429e-07	2.772147314657659
10092_T	True	309.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10094_A	True	313.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10094_T	True	123.0	0.0003401360396916668	3.4707757954829455e-07	2.760583677693842
10095_T	True	124.0	0.0003401360396916668	3.4707757954829455e-07	2.760583677693842
10097_C	True	303.0	0.00032206118339672685	3.111702153924936e-07	2.7331764380968155
10099_A	True	125.0	0.0003401360396916668	3.4707757954829455e-07	2.760583677693842
1009_T	False		0.003952569017807643	4.6868406186004644e-05	2.3283034636518503
100_C	False		0.005555555845300357	9.259260567853697e-05	2.2567026719161194
10101_A	False		0.0010104227500657241	9.393819710642649e-07	0.7718780251029975
10102_G	True	122.0	0.0003401360396916668	3.4707757954829455e-07	2.760583677693842
10103_C	True	321.0	0.00032144004944711924	3.099711266264004e-07	2.7322853719027886
10104_T	True	121.0	0.0003401360396916668	3.4707757954829455e-07	2.760583677693842
10105_G	True	326.0	0.0003208213020116091	3.0877892901525297e-07	2.7314121759089356
10106_G	True	51.0	0.0003663003832722704	4.025279189863429e-07	2.772147314657659
10108_C	False		0.0009611002945651611	8.711077780162651e-07	0.7865503666392859
10109_C	False		0.0014121793986608584	1.5020135159257973e-06	0.6479299356834702
10109_G	True	49.0	0.0003663003832722704	4.025279189863429e-07	2.772147314657659
10109_T	True	1204.0	0.0006213109785070022	1.1580819452483393e-06	2.569760854981513
10110_C	False		0.001036317126515011	1.0130130820386087e-06	0.7982275691620894
10110_G	True	47.0	0.0003663003832722704	4.025279189863429e-07	2.772147314657659
10111_G	True	53.0	0.0003663003832722704	4.025279189863429e-07	2.772147314657659
10112_C	True	46.0	0.0003663003832722704	4.025279189863429e-07	2.772147314657659
10113_C	False		0.0014089786369974415	2.8889613778078075e-06	1.252737981758492
10113_G	False		0.0010113862808793783	7.142634050107791e-09	0.005859648523314412
10113_T	True	170.0	0.0003350083716213703	3.3669183314955723e-07	2.7531611635019053
10114_C	True	45.0	0.0003663003832722704	4.025279189863429e-07	2.772147314657659
10115_A	True	44.0	0.0003663003832722704	4.025279189863429e-07	2.772147314657659
10115_G	True	418.0	0.00030807147656256956	2.8472409754983604e-07	2.7044525987141803
10116_C	True	417.0	0.00030807147656256956	2.8472409754983604e-07	2.7044525987141803
10117_A	True	419.0	0.00030807147656256956	2.8472409754983604e-07	2.7044525987141803
10117_G	False		0.0006430798481839398	3.1179635958074066e-07	0.8110842492832815
10118_A	True	416.0	0.00030807147656256956	2.8472409754983604e-07	2.7044525987141803
10118_C	False		0.0013439865045559902	3.4025451860835094e-07	0.16381895818400588
10119_C	True	171.0	0.0003350083716213703	3.3669183314955723e-07	2.7531611635019053
10121_C	True	1479.0	0.00066934401790301	1.3440643381023205e-06	2.5566196203200326
10121_G	False		0.0010664685784528654	1.2078591466787348e-06	0.9048714008512789
10121_T	True	415.0	0.00030807147656256956	2.8472409754983604e-07	2.7044525987141803
1012_C	False		0.0015015015378594398	6.763520309759161e-06	2.3499038275628794
1013_C	False		0.0017543860400716464	9.233610941523772e-06	2.345835836021724
10142_T	False		0.005464480568965276	8.958165069733229e-05	2.260082730465649
10145_A	False		0.010582011193037033	0.00033593690900805134	2.0983595202035747
1014_T	False		0.001494768386085828	6.702997877846539e-06	2.3500723107548547
10151_G	False		0.007407407586773236	0.0001646090490233781	2.1543267221460134
10153_T	False		0.014492753893136978	0.0006301197336773048	2.0934783077173273
10155_C	False		0.004901960802574952	7.208766172310517e-05	2.2837814194924473
10159_A	False		0.004975124262273312	7.425558654273893e-05	2.2805040070752702
1015_C	False		0.0014880953046182792	6.643282721269723e-06	2.3502556242479566
1015_T	False		0.0017361111628512542	9.042246111440122e-06	2.344626372629154
10162_T	False		0.008333333457509676	0.00020833335234783586	2.126115702801666
10164_A	False		0.004694835593303044	6.612444723158352e-05	2.293137841085869
10164_T	False		0.004694835593303044	6.612444723158352e-05	2.293137841085869
10179_C	False		0.006289308269818624	0.00011866619123864405	2.2081762935025147
1017_C	False		0.003158677058915297	7.635177692224264e-06	0.6596325194692171
10184_G	False		0.006172839552164078	0.00011431184151586976	2.2154958949643526
10185_A	False		0.004166666728754838	5.2083338086958964e-05	2.3170946010506843
10185_G	False		0.004166666728754838	5.2083338086958964e-05	2.3170946010506843
10187_C	False		0.004219409388800462	5.3410249453471895e-05	2.3144619108108735
10188_G	False		0.004219409388800462	5.3410249453471895e-05	2.3144619108108735
10195_G	False		0.0041152263681093855	5.080526774658052e-05	2.3197222319187647
10199_A	False		0.003968254042168458	4.724111876318313e-05	2.3274643938411055
10204_C	False		0.0045045046135783195	6.0871684606821855e-05	2.301569589810389
10209_C	False		0.003436426011224588	3.542707203746373e-05	2.3536027414720335
1020_T	False		0.0014492752961814404	6.3011962137448025e-06	2.3540122629892766
10210_C	False		0.0045045046135783195	6.0871684606821855e-05	2.301569589810389
10212_C	False		0.007772478585441907	4.874883447507304e-05	0.5760805074088188
10214_G	False		0.0031746032958229384	3.0234317599908543e-05	2.3615908318277548
10215_G	False		0.0031746032958229384	3.0234317599908543e-05	2.3615908318277548
10218_C	False		0.004273504329224427	5.478851910947754e-05	2.3118362747838717
10219_G	False		0.0029498524963855743	2.6104889332780046e-05	2.3663401652857017
10221_C	False		0.0030030030757188797	2.7054081239036645e-05	2.3653028549894075
10229_C	False		0.003401360474526882	3.470775807238322e-05	2.3548905949676446
10238_C	True	596.0	0.326241135597229	0.3192998375965672	2.6545665540082193
10246_A	False		0.0031152646988630295	2.911462347481887e-05	2.3629668067400913
10251_A	False		0.0034722223257025084	3.616898444576049e-05	2.352208867489269
10254_T	False		0.0033333332588275275	3.333333281528514e-05	2.3571811663814177
10258_C	False		0.003300329980750879	3.2676534361359425e-05	2.358199417607291
10258_G	False		0.003300329980750879	3.2676534361359425e-05	2.358199417607291
10262_C	False		0.006244164581100146	2.943375191440054e-05	0.5563514886788663
10266_A	False		0.003401360474526882	3.470775807238322e-05	2.3548905949676446
10269_A	False		0.003144654134909312	2.9666547809661013e-05	2.362300523861828
1026_G	False		0.0015151514671742916	6.887051471890352e-06	2.3494156335090266
10272_A	False		0.003546099178493023	3.7724457620828215e-05	2.3490729187586115
1027_C	False		0.001550387591123581	7.211105253403238e-06	2.3475311862702015
1027_T	False		0.001550387591123581	7.211105253403238e-06	2.3475311862702015
10280_A	False		0.0075014665101965266	4.309309847176284e-05	0.549045729879481
10282_C	False		0.007268584022919337	4.062800976472925e-05	0.5536023095958013
10285_A	False		0.004273504329224427	5.478851910947754e-05	2.3118362747838717
10286_C	False		0.00358422938734293	3.8540099431513906e-05	2.347331660311828
10289_C	False		0.003267973971863588	3.203896136819136e-05	2.3591427504282025
1028_C	False		0.0015432098880410194	7.14449009474186e-06	2.347964313782462
10293_A	False		0.004385964944958687	5.771006906265565e-05	2.3066585662877515
10295_G	False		0.004444444552063942	5.925925881256934e-05	2.304134824879437
10298_C	False		0.004166666728754838	5.2083338086958964e-05	2.3170946010506843
10299_C	False		0.004901960802574952	7.208766172310517e-05	2.2837814194924473
10301_C	False		0.003921568704148133	4.613610597375958e-05	2.329964681304902
10302_T	False		0.004629629664123058	6.430041176217144e-05	2.2960632577671163
10316_C	False		0.005847953259944916	0.00010259566701545375	2.2410020317502948
10319_G	False		0.006289308269818624	0.00011866619123864405	2.2081762935025147
10331_A	False		0.007575757801532745	0.00017217632168878283	2.1482434019439793
10334_A	False		0.007936508084336916	0.00018896447505273252	2.136692673960898
10337_G	False		0.01075268785158793	0.00034686088670795223	2.0980072600523276
1033_C	False		0.0015015015378594398	6.763520309759161e-06	2.3499038275628794
1034_C	False		0.0017452007159590721	9.137176705106918e-06	2.3452104049054516
10351_A	False		0.013888889302810034	0.0005787037511321678	2.09401801656466
10361_C	False		0.055555557211240135	0.009259260018114685	2.187581132043841
10369_C	False		0.03030303120613098	0.0027548211470205253	2.107488349321843
1038_A	False		0.001709401762733857	8.766162716417021e-06	2.3431904744308976
1038_G	False		0.001709401762733857	8.766162716417021e-06	2.3431904744308976
1038_T	False		0.0015948962730666	7.631082647362138e-06	2.344754699068686
103_T	False		0.0060606058686971664	0.00011019282355024564	2.223451243521622
10413_T	True	525.0	0.3333333333333333	0.3333333333333333	2.666296237609068
10418_G	False		0.005208333333333333	8.138020833333333e-05	2.2703667344205485
10427_A	False		0.041666666666666664	0.005208333333333333	2.1385731915363255
1042_A	False		0.0017825312291582425	9.532252653945826e-06	2.347887715941228
1043_G	False		0.0015797788898150127	7.487104116678707e-06	2.345676138188143
10445_G	False		0.047619049747784935	0.0068027215065801965	2.1584927638863123
1044_C	False		0.0016025641622642677	7.704635881641446e-06	2.3443164536166217
1046_T	False		0.001572327067454656	7.416636952415253e-06	2.3461471340898137
10476_A	False		0.0030030030757188797	2.7054081239036645e-05	2.3653028549894075
10479_G	False		0.0016750418581068516	8.417295942425768e-06	2.3422487769118696
1047_C	False		0.0015948962730666	7.631082647362138e-06	2.344754699068686
10482_C	False		0.0029498524963855743	2.6104889332780046e-05	2.3663401652857017
10489_G	False		0.0016750418581068516	8.417295942425768e-06	2.3422487769118696
10490_C	False		0.0016750418581068516	8.417295942425768e-06	2.3422487769118696
1049_C	False		0.0032520325233538947	3.172714486863957e-05	2.3595885026669783
10500_T	False		0.0028248587623238564	2.3939482247560626e-05	2.3679205119212106
10506_G	False		0.0016583747540911038	8.250620726970994e-06	2.342282461256622
1050_T	False		0.0016181229924162228	7.85496626390713e-06	2.3435167181993104
10512_G	False		0.0029498524963855743	2.6104889332780046e-05	2.3663401652857017
10514_C	False		0.004600017486761014	1.9670792974198694e-05	0.7412575673498375
10514_T	False		0.004475023752699296	1.812416674087411e-05	0.7265984478902409
10519_G	False		0.002923976629972458	2.5648916753863438e-05	2.36684125353359
1051_C	False		0.00374531839042902	4.208222676482668e-05	2.339330280018154
1051_T	False		0.00187265919521451	1.052055669120667e-05	2.3536901782325015
10522_A	False		0.002923976629972458	2.5648916753863438e-05	2.36684125353359
10522_T	False		0.0028248587623238564	2.3939482247560626e-05	2.3679205119212106
10523_C	False		0.006224306610723336	2.9375187910483793e-05	0.5591052653315514
10523_T	False		0.003300329980750879	3.2676534361359425e-05	2.358199417607291
10524_C	False		0.004475023752699296	1.812416674087411e-05	0.7265984478902409
10525_G	False		0.0016501649903754394	8.169133590339856e-06	2.3424133110758136
10526_G	False		0.0016501649903754394	8.169133590339856e-06	2.3424133110758136
10526_T	False		0.0016501649903754394	8.169133590339856e-06	2.3424133110758136
10529_C	False		0.0028248587623238564	2.3939482247560626e-05	2.3679205119212106
10529_G	False		0.00847457597653071	0.00021545530446486405	2.122843186791828
1053_C	False		0.0019607843520740667	1.1534026493439895e-05	2.356805264942826
1054_T	False		0.0016501649903754394	8.169133590339856e-06	2.3424133110758136
10567_C	False		0.047619049747784935	0.0068027215065801965	2.1584927638863123
1058_T	False		0.001692047342658043	8.589072773327114e-06	2.3425606698932397
1059_C	False		0.0018621973382929962	1.0403336201516219e-05	2.3532063544667237
1060_G	False		0.0021367521646122136	1.3697129777369386e-05	2.3675023368757206
10615_G	False		0.006944444651405017	0.00014467593778304196	2.173584409234401
10617_C	False		0.010416666666666666	0.0003255208333333333	2.098899043074003
10618_C	False		0.006289308269818624	0.00011866619123864405	2.2081762935025147
1061_C	False		0.0034357888313631215	8.916847506391727e-06	0.6448021503995847
1062_T	False		0.0018115942366421223	9.845620838707888e-06	2.350038878804682
10633_C	False		0.0045045046135783195	6.0871684606821855e-05	2.301569589810389
10639_C	False		0.004385964944958687	5.771006906265565e-05	2.3066585662877515
1063_G	False		0.002150537601361672	1.3874436432186888e-05	2.3678901395287983
10646_A	False		0.00374531839042902	4.208222676482668e-05	2.339330280018154
10646_T	False		0.01149425283074379	0.00039635354060450073	2.096931897323477
1064_T	False		0.0019047618843615055	1.0884353631238617e-05	2.354649827787007
10654_G	False		0.003546099178493023	3.7724457620828215e-05	2.3490729187586115
10658_C	False		0.00957420002669096	8.603144218327164e-05	0.6585314206226015
1065_A	False		0.001915708805123965	1.1009819966017442e-05	2.354884147586877
10660_G	False		0.0060606058686971664	0.00011019282355024564	2.223451243521622
10666_A	False		0.0028735632076859474	2.4772096287781296e-05	2.367590266979529
10666_G	False		0.0028735632076859474	2.4772096287781296e-05	2.367590266979529
10667_C	False		0.0028490029896299043	2.435045488263773e-05	2.367801198212898
10668_T	False		0.005952381218473117	0.00010629252354031557	2.2319851992385966
1066_T	False		0.0017452007159590721	9.137176705106918e-06	2.3452104049054516
10674_G	False		0.0025252526005109153	1.9130702005644887e-05	2.3659714663143343
10676_T	False		0.021499828125039738	0.000354736063087751	0.5355851063404503
